video,fps,frame,tip_x,tip_y
healthy_15,30.0,0,201,317
healthy_15,30.0,1,200,309
healthy_15,30.0,2,200,310
healthy_15,30.0,3,200,280
healthy_15,30.0,4,415,262
healthy_15,30.0,5,407,256
healthy_15,30.0,6,416,265
healthy_15,30.0,7,413,261
healthy_15,30.0,8,418,261
healthy_15,30.0,9,418,257
healthy_15,30.0,10,416,265
healthy_15,30.0,11,416,265
healthy_15,30.0,12,414,260
healthy_15,30.0,13,419,263
healthy_15,30.0,14,418,268
healthy_15,30.0,15,419,265
healthy_15,30.0,16,416,264
healthy_15,30.0,17,415,265
healthy_15,30.0,18,410,277
healthy_15,30.0,19,402,267
healthy_15,30.0,20,414,231
healthy_15,30.0,21,418,227
healthy_15,30.0,22,419,226
healthy_15,30.0,23,418,241
healthy_15,30.0,24,418,222
healthy_15,30.0,25,418,254
healthy_15,30.0,26,418,256
healthy_15,30.0,27,418,255
healthy_15,30.0,28,416,264
healthy_15,30.0,29,417,259
healthy_15,30.0,30,419,261
healthy_15,30.0,31,419,261
healthy_15,30.0,32,418,261
healthy_15,30.0,33,207,311
healthy_15,30.0,34,207,311
healthy_15,30.0,35,203,305
healthy_15,30.0,36,206,312
healthy_15,30.0,37,200,318
healthy_15,30.0,38,200,281
healthy_15,30.0,39,201,317
healthy_15,30.0,40,200,318
healthy_15,30.0,41,202,316
healthy_15,30.0,42,202,305
healthy_15,30.0,43,202,316
healthy_15,30.0,44,216,303
healthy_15,30.0,45,200,318
healthy_15,30.0,46,217,299
healthy_15,30.0,47,216,301
healthy_15,30.0,48,203,315
healthy_15,30.0,49,201,318
healthy_15,30.0,50,201,318
healthy_15,30.0,51,202,316
healthy_15,30.0,52,419,256
healthy_15,30.0,53,415,266
healthy_15,30.0,54,415,268
healthy_15,30.0,55,415,269
healthy_15,30.0,56,393,291
healthy_15,30.0,57,415,267
healthy_15,30.0,58,418,256
healthy_15,30.0,59,403,268
healthy_15,30.0,60,415,266
healthy_15,30.0,61,412,268
healthy_15,30.0,62,418,262
healthy_15,30.0,63,419,268
healthy_15,30.0,64,411,278
healthy_15,30.0,65,419,271
healthy_15,30.0,66,412,279
healthy_15,30.0,67,412,280
healthy_15,30.0,68,414,277
healthy_15,30.0,69,413,275
healthy_15,30.0,70,419,267
healthy_15,30.0,71,419,266
healthy_15,30.0,72,416,269
healthy_15,30.0,73,419,268
healthy_15,30.0,74,396,294
healthy_15,30.0,75,418,241
healthy_15,30.0,76,419,265
healthy_15,30.0,77,418,265
healthy_15,30.0,78,414,273
healthy_15,30.0,79,418,266
healthy_15,30.0,80,201,303
healthy_15,30.0,81,207,311
healthy_15,30.0,82,204,305
healthy_15,30.0,83,201,303
healthy_15,30.0,84,200,304
