video,fps,frame,tip_x,tip_y
healthy_3,60.0,0,208,318
healthy_3,60.0,1,209,318
healthy_3,60.0,2,208,318
healthy_3,60.0,3,207,318
healthy_3,60.0,4,210,318
healthy_3,60.0,5,211,318
healthy_3,60.0,6,200,311
healthy_3,60.0,7,211,318
healthy_3,60.0,8,201,317
healthy_3,60.0,9,208,310
healthy_3,60.0,10,208,310
healthy_3,60.0,11,207,311
healthy_3,60.0,12,206,312
healthy_3,60.0,13,203,309
healthy_3,60.0,14,203,318
healthy_3,60.0,15,200,318
healthy_3,60.0,16,200,318
healthy_3,60.0,17,205,313
healthy_3,60.0,18,200,318
healthy_3,60.0,19,202,310
healthy_3,60.0,20,202,310
healthy_3,60.0,21,201,311
healthy_3,60.0,22,201,311
healthy_3,60.0,23,202,312
healthy_3,60.0,24,201,313
healthy_3,60.0,25,201,314
healthy_3,60.0,26,202,313
healthy_3,60.0,27,203,315
healthy_3,60.0,28,201,317
healthy_3,60.0,29,202,317
healthy_3,60.0,30,201,318
healthy_3,60.0,31,204,318
healthy_3,60.0,32,206,318
healthy_3,60.0,33,204,318
healthy_3,60.0,34,204,318
healthy_3,60.0,35,203,318
healthy_3,60.0,36,203,318
healthy_3,60.0,37,200,318
healthy_3,60.0,38,206,304
healthy_3,60.0,39,206,312
healthy_3,60.0,40,206,312
healthy_3,60.0,41,206,312
healthy_3,60.0,42,206,312
healthy_3,60.0,43,206,312
healthy_3,60.0,44,206,312
healthy_3,60.0,45,206,312
healthy_3,60.0,46,206,312
healthy_3,60.0,47,206,312
healthy_3,60.0,48,206,312
healthy_3,60.0,49,206,312
healthy_3,60.0,50,204,314
healthy_3,60.0,51,205,313
healthy_3,60.0,52,202,316
healthy_3,60.0,53,201,317
healthy_3,60.0,54,201,317
healthy_3,60.0,55,201,317
healthy_3,60.0,56,201,318
healthy_3,60.0,57,201,317
healthy_3,60.0,58,205,313
healthy_3,60.0,59,204,314
healthy_3,60.0,60,202,316
healthy_3,60.0,61,203,315
healthy_3,60.0,62,203,315
healthy_3,60.0,63,203,315
healthy_3,60.0,64,202,316
healthy_3,60.0,65,202,317
healthy_3,60.0,66,200,318
healthy_3,60.0,67,202,318
healthy_3,60.0,68,202,318
healthy_3,60.0,69,205,318
healthy_3,60.0,70,206,318
healthy_3,60.0,71,207,318
healthy_3,60.0,72,205,318
healthy_3,60.0,73,207,318
healthy_3,60.0,74,207,318
healthy_3,60.0,75,207,318
healthy_3,60.0,76,207,318
healthy_3,60.0,77,208,318
healthy_3,60.0,78,209,318
healthy_3,60.0,79,200,314
healthy_3,60.0,80,200,318
healthy_3,60.0,81,416,120
healthy_3,60.0,82,206,309
healthy_3,60.0,83,204,314
healthy_3,60.0,84,203,315
healthy_3,60.0,85,203,315
healthy_3,60.0,86,201,317
healthy_3,60.0,87,201,315
healthy_3,60.0,88,200,315
healthy_3,60.0,89,200,315
healthy_3,60.0,90,200,315
healthy_3,60.0,91,210,318
healthy_3,60.0,92,200,316
healthy_3,60.0,93,200,318
healthy_3,60.0,94,201,317
healthy_3,60.0,95,201,317
healthy_3,60.0,96,202,311
healthy_3,60.0,97,202,312
healthy_3,60.0,98,414,317
healthy_3,60.0,99,202,312
healthy_3,60.0,100,203,315
healthy_3,60.0,101,203,315
healthy_3,60.0,102,203,315
healthy_3,60.0,103,203,315
healthy_3,60.0,104,201,317
healthy_3,60.0,105,200,315
healthy_3,60.0,106,210,316
healthy_3,60.0,107,208,318
healthy_3,60.0,108,414,317
healthy_3,60.0,109,419,318
healthy_3,60.0,110,200,318
healthy_3,60.0,111,419,318
healthy_3,60.0,112,206,318
healthy_3,60.0,113,200,318
healthy_3,60.0,114,207,318
healthy_3,60.0,115,213,317
healthy_3,60.0,116,214,317
healthy_3,60.0,117,213,318
healthy_3,60.0,118,200,318
healthy_3,60.0,119,214,318
healthy_3,60.0,120,201,318
healthy_3,60.0,121,202,317
healthy_3,60.0,122,201,318
healthy_3,60.0,123,202,317
