video,fps,frame,tip_x,tip_y
healthy_5,25.0,0,200,122
healthy_5,25.0,1,200,122
healthy_5,25.0,2,200,122
healthy_5,25.0,3,200,122
healthy_5,25.0,4,200,122
healthy_5,25.0,5,200,122
healthy_5,25.0,6,200,122
healthy_5,25.0,7,200,122
healthy_5,25.0,8,200,122
healthy_5,25.0,9,200,122
healthy_5,25.0,10,200,122
healthy_5,25.0,11,200,122
healthy_5,25.0,12,200,122
healthy_5,25.0,13,200,123
healthy_5,25.0,14,200,123
healthy_5,25.0,15,200,123
healthy_5,25.0,16,202,121
healthy_5,25.0,17,202,121
healthy_5,25.0,18,203,120
healthy_5,25.0,19,203,120
healthy_5,25.0,20,203,120
healthy_5,25.0,21,203,120
healthy_5,25.0,22,203,120
healthy_5,25.0,23,203,120
healthy_5,25.0,24,203,120
healthy_5,25.0,25,203,120
healthy_5,25.0,26,200,123
healthy_5,25.0,27,200,123
healthy_5,25.0,28,200,122
healthy_5,25.0,29,200,122
healthy_5,25.0,30,200,122
healthy_5,25.0,31,200,122
healthy_5,25.0,32,200,122
healthy_5,25.0,33,200,122
healthy_5,25.0,34,200,122
healthy_5,25.0,35,200,122
healthy_5,25.0,36,202,120
healthy_5,25.0,37,200,122
healthy_5,25.0,38,202,120
healthy_5,25.0,39,200,123
healthy_5,25.0,40,200,123
healthy_5,25.0,41,200,123
healthy_5,25.0,42,200,123
healthy_5,25.0,43,200,123
healthy_5,25.0,44,200,123
healthy_5,25.0,45,200,123
healthy_5,25.0,46,200,123
healthy_5,25.0,47,200,123
healthy_5,25.0,48,200,123
healthy_5,25.0,49,200,122
healthy_5,25.0,50,200,122
healthy_5,25.0,51,200,122
healthy_5,25.0,52,200,122
healthy_5,25.0,53,200,122
healthy_5,25.0,54,200,122
healthy_5,25.0,55,200,122
healthy_5,25.0,56,202,120
healthy_5,25.0,57,202,120
healthy_5,25.0,58,200,123
healthy_5,25.0,59,200,123
healthy_5,25.0,60,200,123
healthy_5,25.0,61,200,123
healthy_5,25.0,62,200,123
healthy_5,25.0,63,200,123
healthy_5,25.0,64,200,123
healthy_5,25.0,65,200,123
healthy_5,25.0,66,202,121
healthy_5,25.0,67,202,121
healthy_5,25.0,68,202,121
healthy_5,25.0,69,203,120
healthy_5,25.0,70,203,120
healthy_5,25.0,71,202,121
healthy_5,25.0,72,202,121
healthy_5,25.0,73,200,123
healthy_5,25.0,74,200,123
healthy_5,25.0,75,200,123
healthy_5,25.0,76,200,123
healthy_5,25.0,77,200,123
healthy_5,25.0,78,200,122
healthy_5,25.0,79,200,122
healthy_5,25.0,80,200,122
healthy_5,25.0,81,200,122
healthy_5,25.0,82,200,122
healthy_5,25.0,83,200,122
healthy_5,25.0,84,200,122
healthy_5,25.0,85,200,122
healthy_5,25.0,86,200,122
healthy_5,25.0,87,200,122
healthy_5,25.0,88,200,122
healthy_5,25.0,89,200,122
healthy_5,25.0,90,200,122
healthy_5,25.0,91,202,120
healthy_5,25.0,92,202,120
healthy_5,25.0,93,200,123
healthy_5,25.0,94,200,123
healthy_5,25.0,95,200,123
healthy_5,25.0,96,202,121
healthy_5,25.0,97,202,121
healthy_5,25.0,98,200,124
healthy_5,25.0,99,200,125
healthy_5,25.0,100,200,125
healthy_5,25.0,101,200,125
healthy_5,25.0,102,200,125
healthy_5,25.0,103,200,124
healthy_5,25.0,104,200,124
healthy_5,25.0,105,200,124
healthy_5,25.0,106,200,124
healthy_5,25.0,107,200,124
healthy_5,25.0,108,203,120
healthy_5,25.0,109,200,123
healthy_5,25.0,110,200,123
healthy_5,25.0,111,200,123
healthy_5,25.0,112,200,123
healthy_5,25.0,113,200,123
healthy_5,25.0,114,200,123
healthy_5,25.0,115,200,123
healthy_5,25.0,116,200,123
healthy_5,25.0,117,200,123
healthy_5,25.0,118,202,120
healthy_5,25.0,119,200,123
healthy_5,25.0,120,200,123
healthy_5,25.0,121,200,123
healthy_5,25.0,122,200,123
healthy_5,25.0,123,200,123
healthy_5,25.0,124,200,123
healthy_5,25.0,125,200,123
healthy_5,25.0,126,200,123
healthy_5,25.0,127,200,123
healthy_5,25.0,128,200,123
healthy_5,25.0,129,200,123
healthy_5,25.0,130,200,123
healthy_5,25.0,131,200,123
healthy_5,25.0,132,200,123
healthy_5,25.0,133,200,123
healthy_5,25.0,134,200,123
healthy_5,25.0,135,200,123
healthy_5,25.0,136,200,123
healthy_5,25.0,137,200,123
healthy_5,25.0,138,200,123
healthy_5,25.0,139,200,123
healthy_5,25.0,140,200,123
healthy_5,25.0,141,200,123
healthy_5,25.0,142,200,123
healthy_5,25.0,143,200,123
healthy_5,25.0,144,200,123
healthy_5,25.0,145,200,123
healthy_5,25.0,146,200,123
healthy_5,25.0,147,200,123
healthy_5,25.0,148,200,123
healthy_5,25.0,149,200,123
healthy_5,25.0,150,200,123
healthy_5,25.0,151,200,123
healthy_5,25.0,152,200,123
healthy_5,25.0,153,200,123
healthy_5,25.0,154,200,123
healthy_5,25.0,155,200,123
healthy_5,25.0,156,200,123
healthy_5,25.0,157,200,123
healthy_5,25.0,158,200,123
healthy_5,25.0,159,200,123
healthy_5,25.0,160,200,123
healthy_5,25.0,161,200,123
healthy_5,25.0,162,200,123
healthy_5,25.0,163,200,123
healthy_5,25.0,164,200,123
healthy_5,25.0,165,200,123
healthy_5,25.0,166,200,123
healthy_5,25.0,167,200,123
healthy_5,25.0,168,202,120
healthy_5,25.0,169,202,120
healthy_5,25.0,170,202,120
healthy_5,25.0,171,202,120
healthy_5,25.0,172,202,120
healthy_5,25.0,173,202,120
healthy_5,25.0,174,202,120
healthy_5,25.0,175,202,120
healthy_5,25.0,176,200,122
healthy_5,25.0,177,200,122
healthy_5,25.0,178,200,122
healthy_5,25.0,179,200,122
healthy_5,25.0,180,200,122
healthy_5,25.0,181,200,122
healthy_5,25.0,182,200,122
healthy_5,25.0,183,200,122
healthy_5,25.0,184,200,122
healthy_5,25.0,185,200,122
healthy_5,25.0,186,200,122
healthy_5,25.0,187,200,122
healthy_5,25.0,188,200,122
healthy_5,25.0,189,200,122
healthy_5,25.0,190,200,122
healthy_5,25.0,191,201,121
healthy_5,25.0,192,201,121
healthy_5,25.0,193,200,123
healthy_5,25.0,194,200,123
healthy_5,25.0,195,200,123
healthy_5,25.0,196,200,123
healthy_5,25.0,197,200,123
healthy_5,25.0,198,202,121
healthy_5,25.0,199,200,123
healthy_5,25.0,200,200,123
healthy_5,25.0,201,200,123
healthy_5,25.0,202,200,123
healthy_5,25.0,203,200,123
healthy_5,25.0,204,202,120
healthy_5,25.0,205,202,120
healthy_5,25.0,206,202,120
healthy_5,25.0,207,202,120
healthy_5,25.0,208,202,120
healthy_5,25.0,209,202,120
healthy_5,25.0,210,202,120
healthy_5,25.0,211,202,120
healthy_5,25.0,212,202,120
healthy_5,25.0,213,202,120
healthy_5,25.0,214,202,120
healthy_5,25.0,215,202,120
healthy_5,25.0,216,202,120
healthy_5,25.0,217,202,120
healthy_5,25.0,218,202,120
healthy_5,25.0,219,202,120
healthy_5,25.0,220,202,120
healthy_5,25.0,221,202,120
healthy_5,25.0,222,202,120
healthy_5,25.0,223,202,120
healthy_5,25.0,224,201,121
healthy_5,25.0,225,201,121
healthy_5,25.0,226,200,123
healthy_5,25.0,227,200,123
healthy_5,25.0,228,200,123
healthy_5,25.0,229,200,123
healthy_5,25.0,230,200,123
healthy_5,25.0,231,200,123
healthy_5,25.0,232,200,123
healthy_5,25.0,233,200,123
healthy_5,25.0,234,202,120
healthy_5,25.0,235,202,120
healthy_5,25.0,236,202,120
healthy_5,25.0,237,202,120
healthy_5,25.0,238,202,120
healthy_5,25.0,239,200,123
healthy_5,25.0,240,200,123
healthy_5,25.0,241,200,123
healthy_5,25.0,242,200,123
healthy_5,25.0,243,200,123
healthy_5,25.0,244,200,123
healthy_5,25.0,245,200,123
healthy_5,25.0,246,200,123
healthy_5,25.0,247,200,123
healthy_5,25.0,248,200,123
healthy_5,25.0,249,200,123
healthy_5,25.0,250,200,123
healthy_5,25.0,251,200,123
healthy_5,25.0,252,200,123
healthy_5,25.0,253,200,123
healthy_5,25.0,254,200,123
healthy_5,25.0,255,200,123
healthy_5,25.0,256,201,121
healthy_5,25.0,257,201,121
healthy_5,25.0,258,202,120
healthy_5,25.0,259,202,120
healthy_5,25.0,260,200,122
healthy_5,25.0,261,202,120
healthy_5,25.0,262,202,120
healthy_5,25.0,263,202,120
healthy_5,25.0,264,202,120
healthy_5,25.0,265,202,120
healthy_5,25.0,266,202,120
healthy_5,25.0,267,202,120
healthy_5,25.0,268,200,122
healthy_5,25.0,269,200,122
healthy_5,25.0,270,200,122
healthy_5,25.0,271,200,122
healthy_5,25.0,272,200,122
healthy_5,25.0,273,200,122
healthy_5,25.0,274,200,122
healthy_5,25.0,275,200,122
healthy_5,25.0,276,200,122
healthy_5,25.0,277,200,122
healthy_5,25.0,278,200,122
healthy_5,25.0,279,200,122
healthy_5,25.0,280,200,122
healthy_5,25.0,281,200,123
healthy_5,25.0,282,201,121
healthy_5,25.0,283,200,123
healthy_5,25.0,284,200,123
healthy_5,25.0,285,200,123
healthy_5,25.0,286,200,123
healthy_5,25.0,287,200,123
healthy_5,25.0,288,200,123
healthy_5,25.0,289,200,123
healthy_5,25.0,290,200,123
healthy_5,25.0,291,200,123
healthy_5,25.0,292,200,123
healthy_5,25.0,293,200,123
healthy_5,25.0,294,200,123
healthy_5,25.0,295,200,123
healthy_5,25.0,296,200,123
healthy_5,25.0,297,200,123
healthy_5,25.0,298,200,123
healthy_5,25.0,299,200,123
healthy_5,25.0,300,200,123
healthy_5,25.0,301,202,120
healthy_5,25.0,302,202,120
healthy_5,25.0,303,200,123
healthy_5,25.0,304,200,123
healthy_5,25.0,305,200,123
healthy_5,25.0,306,200,123
healthy_5,25.0,307,200,123
healthy_5,25.0,308,200,123
healthy_5,25.0,309,200,123
healthy_5,25.0,310,200,123
healthy_5,25.0,311,200,123
healthy_5,25.0,312,200,123
healthy_5,25.0,313,200,123
healthy_5,25.0,314,200,123
healthy_5,25.0,315,200,123
healthy_5,25.0,316,200,123
healthy_5,25.0,317,200,123
healthy_5,25.0,318,200,123
healthy_5,25.0,319,200,123
healthy_5,25.0,320,200,123
healthy_5,25.0,321,200,123
healthy_5,25.0,322,200,123
healthy_5,25.0,323,200,123
healthy_5,25.0,324,200,123
healthy_5,25.0,325,200,123
healthy_5,25.0,326,201,121
healthy_5,25.0,327,201,121
healthy_5,25.0,328,201,121
healthy_5,25.0,329,200,122
healthy_5,25.0,330,200,122
healthy_5,25.0,331,200,122
healthy_5,25.0,332,200,122
healthy_5,25.0,333,200,122
healthy_5,25.0,334,200,122
healthy_5,25.0,335,200,122
healthy_5,25.0,336,200,122
healthy_5,25.0,337,200,122
healthy_5,25.0,338,200,122
healthy_5,25.0,339,202,120
healthy_5,25.0,340,202,120
healthy_5,25.0,341,202,120
healthy_5,25.0,342,202,120
healthy_5,25.0,343,202,120
healthy_5,25.0,344,202,120
healthy_5,25.0,345,202,120
healthy_5,25.0,346,202,120
healthy_5,25.0,347,202,120
healthy_5,25.0,348,202,120
healthy_5,25.0,349,202,120
healthy_5,25.0,350,202,120
healthy_5,25.0,351,202,120
healthy_5,25.0,352,202,120
healthy_5,25.0,353,200,123
healthy_5,25.0,354,200,123
healthy_5,25.0,355,200,123
healthy_5,25.0,356,200,123
healthy_5,25.0,357,200,123
healthy_5,25.0,358,200,123
healthy_5,25.0,359,200,123
healthy_5,25.0,360,200,123
healthy_5,25.0,361,200,123
healthy_5,25.0,362,200,123
healthy_5,25.0,363,200,123
healthy_5,25.0,364,200,123
healthy_5,25.0,365,200,123
healthy_5,25.0,366,200,123
healthy_5,25.0,367,200,123
healthy_5,25.0,368,200,123
healthy_5,25.0,369,200,123
healthy_5,25.0,370,200,123
healthy_5,25.0,371,200,123
healthy_5,25.0,372,200,123
healthy_5,25.0,373,200,123
healthy_5,25.0,374,200,123
healthy_5,25.0,375,200,123
healthy_5,25.0,376,200,123
healthy_5,25.0,377,200,123
healthy_5,25.0,378,200,123
healthy_5,25.0,379,200,123
healthy_5,25.0,380,200,123
healthy_5,25.0,381,203,120
healthy_5,25.0,382,203,120
healthy_5,25.0,383,200,123
healthy_5,25.0,384,200,123
healthy_5,25.0,385,200,123
healthy_5,25.0,386,200,123
healthy_5,25.0,387,200,123
healthy_5,25.0,388,200,123
healthy_5,25.0,389,200,123
healthy_5,25.0,390,200,123
healthy_5,25.0,391,200,123
healthy_5,25.0,392,200,123
healthy_5,25.0,393,200,123
healthy_5,25.0,394,200,123
healthy_5,25.0,395,202,120
healthy_5,25.0,396,202,120
healthy_5,25.0,397,202,120
healthy_5,25.0,398,202,120
healthy_5,25.0,399,202,120
