video,fps,frame,tip_x,tip_y
healthy_4,60.0,0,415,314
healthy_4,60.0,1,414,313
healthy_4,60.0,2,415,314
healthy_4,60.0,3,416,314
healthy_4,60.0,4,414,313
healthy_4,60.0,5,405,306
healthy_4,60.0,6,404,306
healthy_4,60.0,7,416,120
healthy_4,60.0,8,419,288
healthy_4,60.0,9,419,288
healthy_4,60.0,10,405,303
healthy_4,60.0,11,419,288
healthy_4,60.0,12,418,288
healthy_4,60.0,13,418,288
healthy_4,60.0,14,419,287
healthy_4,60.0,15,419,287
healthy_4,60.0,16,404,303
healthy_4,60.0,17,419,287
healthy_4,60.0,18,404,305
healthy_4,60.0,19,404,306
healthy_4,60.0,20,419,287
healthy_4,60.0,21,404,303
healthy_4,60.0,22,415,313
healthy_4,60.0,23,414,313
healthy_4,60.0,24,415,314
healthy_4,60.0,25,415,313
healthy_4,60.0,26,414,312
healthy_4,60.0,27,414,313
healthy_4,60.0,28,414,312
healthy_4,60.0,29,414,312
healthy_4,60.0,30,413,312
healthy_4,60.0,31,412,311
healthy_4,60.0,32,412,311
healthy_4,60.0,33,413,312
healthy_4,60.0,34,414,313
healthy_4,60.0,35,412,311
healthy_4,60.0,36,414,312
healthy_4,60.0,37,405,307
healthy_4,60.0,38,405,307
healthy_4,60.0,39,413,311
healthy_4,60.0,40,415,313
healthy_4,60.0,41,413,312
healthy_4,60.0,42,418,307
healthy_4,60.0,43,210,308
healthy_4,60.0,44,416,315
healthy_4,60.0,45,418,308
healthy_4,60.0,46,419,287
healthy_4,60.0,47,419,287
healthy_4,60.0,48,419,287
healthy_4,60.0,49,416,315
healthy_4,60.0,50,419,287
healthy_4,60.0,51,419,287
healthy_4,60.0,52,418,277
healthy_4,60.0,53,419,287
healthy_4,60.0,54,404,306
healthy_4,60.0,55,404,306
healthy_4,60.0,56,404,306
healthy_4,60.0,57,405,306
healthy_4,60.0,58,405,307
healthy_4,60.0,59,414,312
healthy_4,60.0,60,413,312
healthy_4,60.0,61,414,312
healthy_4,60.0,62,413,312
healthy_4,60.0,63,414,313
healthy_4,60.0,64,413,312
healthy_4,60.0,65,413,312
healthy_4,60.0,66,413,311
healthy_4,60.0,67,413,312
healthy_4,60.0,68,413,312
healthy_4,60.0,69,413,312
healthy_4,60.0,70,405,307
healthy_4,60.0,71,405,307
healthy_4,60.0,72,413,311
healthy_4,60.0,73,419,287
healthy_4,60.0,74,419,287
healthy_4,60.0,75,419,286
healthy_4,60.0,76,419,287
healthy_4,60.0,77,404,305
healthy_4,60.0,78,419,287
healthy_4,60.0,79,404,306
healthy_4,60.0,80,419,287
healthy_4,60.0,81,418,277
healthy_4,60.0,82,419,287
healthy_4,60.0,83,418,307
healthy_4,60.0,84,416,314
healthy_4,60.0,85,416,315
healthy_4,60.0,86,416,315
healthy_4,60.0,87,416,315
healthy_4,60.0,88,416,315
healthy_4,60.0,89,416,315
healthy_4,60.0,90,416,314
healthy_4,60.0,91,414,313
healthy_4,60.0,92,414,313
healthy_4,60.0,93,405,307
healthy_4,60.0,94,414,312
healthy_4,60.0,95,415,313
healthy_4,60.0,96,414,312
healthy_4,60.0,97,413,311
healthy_4,60.0,98,413,311
healthy_4,60.0,99,413,311
healthy_4,60.0,100,406,308
healthy_4,60.0,101,413,312
healthy_4,60.0,102,413,312
healthy_4,60.0,103,413,312
healthy_4,60.0,104,414,313
healthy_4,60.0,105,415,313
healthy_4,60.0,106,414,312
healthy_4,60.0,107,415,314
healthy_4,60.0,108,405,306
healthy_4,60.0,109,405,306
healthy_4,60.0,110,404,306
healthy_4,60.0,111,404,305
healthy_4,60.0,112,404,305
healthy_4,60.0,113,419,287
healthy_4,60.0,114,419,287
healthy_4,60.0,115,403,304
healthy_4,60.0,116,418,278
healthy_4,60.0,117,419,287
healthy_4,60.0,118,418,277
healthy_4,60.0,119,419,287
healthy_4,60.0,120,419,309
healthy_4,60.0,121,416,315
healthy_4,60.0,122,417,315
healthy_4,60.0,123,414,313
healthy_4,60.0,124,414,312
healthy_4,60.0,125,405,306
healthy_4,60.0,126,404,306
healthy_4,60.0,127,405,306
healthy_4,60.0,128,406,307
healthy_4,60.0,129,406,307
healthy_4,60.0,130,406,308
healthy_4,60.0,131,406,308
healthy_4,60.0,132,406,308
healthy_4,60.0,133,406,307
healthy_4,60.0,134,405,307
healthy_4,60.0,135,414,313
healthy_4,60.0,136,415,314
healthy_4,60.0,137,414,313
healthy_4,60.0,138,406,307
healthy_4,60.0,139,413,311
healthy_4,60.0,140,415,313
healthy_4,60.0,141,413,311
healthy_4,60.0,142,415,314
healthy_4,60.0,143,415,314
healthy_4,60.0,144,415,313
healthy_4,60.0,145,418,307
healthy_4,60.0,146,414,312
healthy_4,60.0,147,419,306
healthy_4,60.0,148,416,120
healthy_4,60.0,149,414,313
healthy_4,60.0,150,419,306
healthy_4,60.0,151,419,307
healthy_4,60.0,152,419,307
healthy_4,60.0,153,414,313
healthy_4,60.0,154,418,307
healthy_4,60.0,155,419,308
healthy_4,60.0,156,418,308
healthy_4,60.0,157,418,307
healthy_4,60.0,158,419,287
healthy_4,60.0,159,419,287
healthy_4,60.0,160,419,287
healthy_4,60.0,161,404,306
healthy_4,60.0,162,419,287
healthy_4,60.0,163,404,306
healthy_4,60.0,164,405,306
healthy_4,60.0,165,405,307
healthy_4,60.0,166,405,307
healthy_4,60.0,167,406,307
healthy_4,60.0,168,406,307
healthy_4,60.0,169,406,307
healthy_4,60.0,170,415,313
healthy_4,60.0,171,415,314
