video,fps,frame,tip_x,tip_y
PCD_10,30.0,0,418,287
PCD_10,30.0,1,418,287
PCD_10,30.0,2,418,287
PCD_10,30.0,3,418,287
PCD_10,30.0,4,418,287
PCD_10,30.0,5,417,287
PCD_10,30.0,6,417,287
PCD_10,30.0,7,417,287
PCD_10,30.0,8,417,287
PCD_10,30.0,9,417,286
PCD_10,30.0,10,417,287
PCD_10,30.0,11,417,287
PCD_10,30.0,12,417,287
PCD_10,30.0,13,417,286
PCD_10,30.0,14,416,288
PCD_10,30.0,15,416,288
PCD_10,30.0,16,416,288
PCD_10,30.0,17,417,286
PCD_10,30.0,18,417,286
PCD_10,30.0,19,417,286
PCD_10,30.0,20,417,287
PCD_10,30.0,21,418,289
PCD_10,30.0,22,418,288
PCD_10,30.0,23,418,289
PCD_10,30.0,24,418,289
PCD_10,30.0,25,418,289
PCD_10,30.0,26,418,289
PCD_10,30.0,27,418,288
PCD_10,30.0,28,418,288
PCD_10,30.0,29,418,288
PCD_10,30.0,30,418,288
PCD_10,30.0,31,418,288
PCD_10,30.0,32,418,288
PCD_10,30.0,33,418,288
PCD_10,30.0,34,418,288
PCD_10,30.0,35,417,286
PCD_10,30.0,36,417,286
PCD_10,30.0,37,417,286
PCD_10,30.0,38,417,287
PCD_10,30.0,39,417,287
PCD_10,30.0,40,417,287
PCD_10,30.0,41,418,288
PCD_10,30.0,42,418,288
PCD_10,30.0,43,418,288
PCD_10,30.0,44,418,288
PCD_10,30.0,45,418,288
PCD_10,30.0,46,418,288
PCD_10,30.0,47,418,288
PCD_10,30.0,48,418,288
PCD_10,30.0,49,418,288
PCD_10,30.0,50,418,288
PCD_10,30.0,51,418,289
PCD_10,30.0,52,418,289
PCD_10,30.0,53,418,289
PCD_10,30.0,54,418,290
PCD_10,30.0,55,418,289
PCD_10,30.0,56,418,289
PCD_10,30.0,57,418,289
PCD_10,30.0,58,418,287
PCD_10,30.0,59,418,289
PCD_10,30.0,60,418,289
PCD_10,30.0,61,418,288
PCD_10,30.0,62,417,287
PCD_10,30.0,63,417,287
PCD_10,30.0,64,417,287
PCD_10,30.0,65,417,287
PCD_10,30.0,66,417,287
PCD_10,30.0,67,417,287
PCD_10,30.0,68,417,287
PCD_10,30.0,69,417,287
PCD_10,30.0,70,418,287
PCD_10,30.0,71,417,287
PCD_10,30.0,72,417,287
PCD_10,30.0,73,417,287
PCD_10,30.0,74,418,288
PCD_10,30.0,75,418,288
PCD_10,30.0,76,418,288
PCD_10,30.0,77,418,288
PCD_10,30.0,78,418,288
PCD_10,30.0,79,418,288
PCD_10,30.0,80,418,288
PCD_10,30.0,81,417,287
PCD_10,30.0,82,418,288
PCD_10,30.0,83,418,290
PCD_10,30.0,84,418,290
PCD_10,30.0,85,418,290
PCD_10,30.0,86,418,290
PCD_10,30.0,87,418,290
PCD_10,30.0,88,418,290
PCD_10,30.0,89,418,289
PCD_10,30.0,90,418,289
PCD_10,30.0,91,418,289
PCD_10,30.0,92,417,288
PCD_10,30.0,93,417,288
PCD_10,30.0,94,417,287
PCD_10,30.0,95,417,287
PCD_10,30.0,96,417,287
PCD_10,30.0,97,417,287
PCD_10,30.0,98,417,288
PCD_10,30.0,99,417,287
PCD_10,30.0,100,417,287
PCD_10,30.0,101,418,286
PCD_10,30.0,102,418,286
PCD_10,30.0,103,418,286
PCD_10,30.0,104,418,286
PCD_10,30.0,105,418,288
PCD_10,30.0,106,418,288
PCD_10,30.0,107,417,287
PCD_10,30.0,108,418,291
PCD_10,30.0,109,418,291
PCD_10,30.0,110,417,287
PCD_10,30.0,111,417,287
PCD_10,30.0,112,417,287
PCD_10,30.0,113,417,287
PCD_10,30.0,114,418,288
PCD_10,30.0,115,418,288
PCD_10,30.0,116,418,288
PCD_10,30.0,117,418,288
PCD_10,30.0,118,418,288
PCD_10,30.0,119,418,288
PCD_10,30.0,120,418,288
PCD_10,30.0,121,418,288
PCD_10,30.0,122,417,287
PCD_10,30.0,123,417,286
PCD_10,30.0,124,417,286
PCD_10,30.0,125,417,287
PCD_10,30.0,126,418,286
PCD_10,30.0,127,418,286
PCD_10,30.0,128,417,288
PCD_10,30.0,129,417,288
PCD_10,30.0,130,417,288
PCD_10,30.0,131,418,287
PCD_10,30.0,132,418,289
PCD_10,30.0,133,418,289
PCD_10,30.0,134,418,286
PCD_10,30.0,135,418,286
PCD_10,30.0,136,418,289
PCD_10,30.0,137,418,288
